medalist_name,Sport,Gender,Medal
Ólafur Stefánsson,handball,male,silver
Anna Kareyeva,handball,female,silver
Emiliya Turey,handball,female,silver
Inna Suslina,handball,female,silver
Irina Bliznova,handball,female,silver
Irina Dibirova,handball,female,silver
Lyudmila Postnova,handball,female,silver
Maria Sidorova,handball,female,silver
Natalia Shipilova,handball,female,silver
Oxana Romenskaya,handball,female,silver
Yana Uskova,handball,female,silver
Yekaterina Andryushina,handball,female,silver
Yekaterina Marennikova,handball,female,silver
Yelena Dmitriyeva,handball,female,silver
Yelena Polenova,handball,female,silver
Bertrand Gille,handball,male,gold
Christophe Kempé,handball,male,gold
Cédric Burdet,handball,male,gold
Cédric Paty,handball,male,gold
Daniel Narcisse,handball,male,gold
Daouda Karaboué,handball,male,gold
Didier Dinart,handball,male,gold
Guillaume Gille,handball,male,gold
Joël Abati,handball,male,gold
Jérôme Fernandez,handball,male,gold
Luc Abalo,handball,male,gold
Michaël Guigou,handball,male,gold
Nikola Karabatić,handball,male,gold
Olivier Girault,handball,male,gold
Thierry Omeyer,handball,male,gold
Else-Marthe Sørlie Lybekk,handball,female,gold
Gro Hammerseng-Edin,handball,female,gold
Gøril Snorroeggen,handball,female,gold
Kari Aalvik Grimsbø,handball,female,gold
Kari Mette Johansen,handball,female,gold
Karoline Dyhre Breivang,handball,female,gold
Katja Nyberg,handball,female,gold
Katrine Lunde,handball,female,gold
Kristine Lunde-Borgersen,handball,female,gold
Linn-Kristin Riegelhuth Koren,handball,female,gold
Marit Malm Frafjord,handball,female,gold
Ragnhild Aamodt,handball,female,gold
Tonje Larsen,handball,female,gold
Tonje Nøstvold,handball,female,gold
Henk Grol,judo,male,bronze
Hesham Mesbah,judo,male,bronze
Leandro Guilheiro,judo,male,bronze
Movlud Miraliyev,judo,male,bronze
Pak Chol-Min,judo,male,bronze
Rasul Boqiev,judo,male,bronze
Rishod Sobirov,judo,male,bronze
Roman Hontyuk,judo,male,bronze
Ruben Houkes,judo,male,bronze
Sergei Aschwanden,judo,male,bronze
Teddy Riner,judo,male,bronze
Tiago Camilo,judo,male,bronze
Yordanis Arencibia,judo,male,bronze
Óscar Brayson,judo,male,bronze
Edith Bosch,judo,female,bronze
Elisabeth Willeboordse,judo,female,bronze
Idalys Ortiz,judo,female,bronze
Jeong Gyeong-mi,judo,female,bronze
Ketleyn Quadros,judo,female,bronze
Lucija Polavder,judo,female,bronze
Misato Nakamura,judo,female,bronze
Paula Pareto,judo,female,bronze
Ronda Rousey,judo,female,bronze
Ryoko Tani,judo,female,bronze
Soraya Haddad,judo,female,bronze
Stéphanie Possamaï,judo,female,bronze
Won Ok-Im,judo,female,bronze
Xu Yan,judo,female,bronze
Abdullo Tangriev,judo,male,silver
Amar Benikhlef,judo,male,silver
Askhat Zhitkeyev,judo,male,silver
Benjamin Darbelet,judo,male,silver
Kim Jae-bum,judo,male,silver
Ludwig Paischer,judo,male,silver
Wang Ki-chun,judo,male,silver
An Kum-ae,judo,female,silver
Anaysi Hernández,judo,female,silver
Deborah Gravenstijn,judo,female,silver
Lucie Décosse,judo,female,silver
Maki Tsukada,judo,female,silver
Yalennis Castillo,judo,female,silver
Yanet Bermoy,judo,female,silver
Choi Min-ho,judo,male,gold
Elnur Mammadli,judo,male,gold
Irakli Tsirekidze,judo,male,gold
Masato Uchishiba,judo,male,gold
Naidangiin Tüvshinbayar,judo,male,gold
Ole Bischof,judo,male,gold
Satoshi Ishii,judo,male,gold
Alina Dumitru,judo,female,gold
Ayumi Tanimoto,judo,female,gold
Giulia Quintavalle,judo,female,gold
Masae Ueno,judo,female,gold
Tong Wen,judo,female,gold
Xian Dongmei,judo,female,gold
Yang Xiuli,judo,female,gold
Andrejus Zadneprovskis,modern pentathlon,male,bronze
Edvinas Krungolcas,modern pentathlon,male,silver
Heather Fell,modern pentathlon,female,silver
Andrey Moiseyev,modern pentathlon,male,gold
Lena Schöneborn,modern pentathlon,female,gold
Nino Schurter,mountain biking,male,bronze
Irina Kalentieva,mountain biking,female,bronze
Jean-Christophe Péraud,mountain biking,male,silver
Maja Włoszczowska,mountain biking,female,silver
Julien Absalon,mountain biking,male,gold
Sabine Spitz,mountain biking,female,gold
Alina Tumilovich,rhythmic gymnastics,female,bronze
Anastasia Ivankova,rhythmic gymnastics,female,bronze
Anna Bessonova,rhythmic gymnastics,female,bronze
Glafira Martinovich,rhythmic gymnastics,female,bronze
Ksenia Sankovich,rhythmic gymnastics,female,bronze
Olesya Babushkina,rhythmic gymnastics,female,bronze
Zinaida Lunina,rhythmic gymnastics,female,bronze
Cai Tong-Tong,rhythmic gymnastics,female,silver
Chou Tao,rhythmic gymnastics,female,silver
Inna Zhukova,rhythmic gymnastics,female,silver
Lü Yuanyang,rhythmic gymnastics,female,silver
Sui Jianshuang,rhythmic gymnastics,female,silver
Sun Dan,rhythmic gymnastics,female,silver
Zhang Shuo,rhythmic gymnastics,female,silver
Anna Gavrilenko,rhythmic gymnastics,female,gold
Daria Shkurikhina,rhythmic gymnastics,female,gold
Margarita Aliychuk,rhythmic gymnastics,female,gold
Natalia Zuyeva,rhythmic gymnastics,female,gold
Tatiana Gorbunova,rhythmic gymnastics,female,gold
Yelena Posevina,rhythmic gymnastics,female,gold
Yevgeniya Kanayeva,rhythmic gymnastics,female,gold
Alexandr Kolobnev,road bicycle racing,male,bronze
Levi Leipheimer,road bicycle racing,male,bronze
Karin Thürig,road bicycle racing,female,bronze
Tatiana Guderzo,road bicycle racing,female,bronze
Fabian Cancellara,road bicycle racing,male,silver
Gustav Larsson,road bicycle racing,male,silver
Emma Johansson,road bicycle racing,female,silver
Emma Pooley,road bicycle racing,female,silver
Samuel Sánchez,road bicycle racing,male,gold
Kristin Armstrong,road bicycle racing,female,gold
Nicole Cooke,road bicycle racing,female,gold
Beau Hoopman,rowing,male,bronze
Benjamin Rondeau,rowing,male,bronze
Bryan Volpenhein,rowing,male,bronze
Cédric Berrest,rowing,male,bronze
Daniel Walsh,rowing,male,bronze
Dorian Mortelette,rowing,male,bronze
George Bridgewater,rowing,male,bronze
Germain Chardin,rowing,male,bronze
Iain Brambell,rowing,male,bronze
Jon Beare,rowing,male,bronze
Jonathan Coeffic,rowing,male,bronze
Josh Inman,rowing,male,bronze
Julien Bahain,rowing,male,bronze
Julien Desprès,rowing,male,bronze
Liam Parsons,rowing,male,bronze
Mads Rasmussen,rowing,male,bronze
Mahé Drysdale,rowing,male,bronze
Marcus McElhenney,rowing,male,bronze
Matt Schnobrich,rowing,male,bronze
Micah Boyd,rowing,male,bronze
Mike Lewis,rowing,male,bronze
Nathan Twaddle,rowing,male,bronze
Pierre-Jean Peltier,rowing,male,bronze
Rasmus Quist Hansen,rowing,male,bronze
Stephen Rowbotham,rowing,male,bronze
Steven Coppola,rowing,male,bronze
Wyatt Allen,rowing,male,bronze
Anna Watkins,rowing,female,bronze
Britta Oppelt,rowing,female,bronze
Constanța Burcică,rowing,female,bronze
Doina Ignat,rowing,female,bronze
Ekaterina Karsten,rowing,female,bronze
Elena Georgescu,rowing,female,bronze
Elise Laverick,rowing,female,bronze
Enikő Barabás,rowing,female,bronze
Ioana Papuc,rowing,female,bronze
Kathrin Boron,rowing,female,bronze
Manuela Lutze,rowing,female,bronze
Melanie Kok,rowing,female,bronze
Natallia Helakh,rowing,female,bronze
Rodica Șerban,rowing,female,bronze
Simona Mușat,rowing,female,bronze
Stephanie Schiller,rowing,female,bronze
Tracy Cameron,rowing,female,bronze
Yuliya Bichyk,rowing,female,bronze
Acer Nethercott,rowing,male,silver
Alastair Heathcote,rowing,male,silver
Alex Partridge,rowing,male,silver
Bartłomiej Pawełczak,rowing,male,silver
Cameron McKenzie-McHarg,rowing,male,silver
Colin Smith,rowing,male,silver
David Calder,rowing,male,silver
Dimitris Mougios,rowing,male,silver
Francis Hegerty,rowing,male,silver
James Marburg,rowing,male,silver
Josh West,rowing,male,silver
Jüri Jaanson,rowing,male,silver
Luca Agamennoni,rowing,male,silver
Matt Ryan,rowing,male,silver
Matthew Langridge,rowing,male,silver
Miłosz Bernatajtys,rowing,male,silver
Ondřej Synek,rowing,male,silver
Paweł Rańda,rowing,male,silver
Richard Egington,rowing,male,silver
Rossano Galtarossa,rowing,male,silver
Scott Frandsen,rowing,male,silver
Simone Raineri,rowing,male,silver
Simone Venier,rowing,male,silver
Tom Lucy,rowing,male,silver
Tom Stallard,rowing,male,silver
Tõnu Endrekson,rowing,male,silver
Vasileios Polymeros,rowing,male,silver
Łukasz Pawłowski,rowing,male,silver
Annabel Vernon,rowing,female,silver
Annekatrin Thiele,rowing,female,silver
Annemarieke van Rumpt,rowing,female,silver
Annemiek de Haan,rowing,female,silver
Christiane Huth,rowing,female,silver
Debbie Flood,rowing,female,silver
Ester Workel,rowing,female,silver
Femke Dekker,rowing,female,silver
Frances Houghton,rowing,female,silver
Gao Yulan,rowing,female,silver
Helen Tanger,rowing,female,silver
Katherine Grainger,rowing,female,silver
Marlies Smulders,rowing,female,silver
Michelle Guerette,rowing,female,silver
Minna Nieminen,rowing,female,silver
Nienke Kingma,rowing,female,silver
Roline Repelaer van Driel,rowing,female,silver
Sanna Stén,rowing,female,silver
Sarah Siegelaar,rowing,female,silver
Wu You,rowing,female,silver
Adam Korol,rowing,male,gold
Adam Kreek,rowing,male,gold
Andrew Byrnes,rowing,male,gold
Andrew Triggs Hodge,rowing,male,gold
Ben Rutledge,rowing,male,gold
Brian Price,rowing,male,gold
David Crawshay,rowing,male,gold
Dominic Seiterle,rowing,male,gold
Drew Ginn,rowing,male,gold
Duncan Free,rowing,male,gold
Eskild Ebbesen,rowing,male,gold
Jake Wetzel,rowing,male,gold
Kevin Light,rowing,male,gold
Konrad Wasielewski,rowing,male,gold
Kyle Hamilton,rowing,male,gold
Mads Andersen,rowing,male,gold
Malcolm Howard,rowing,male,gold
Marek Kolbowicz,rowing,male,gold
Mark Hunter,rowing,male,gold
Michał Jeliński,rowing,male,gold
Morten Jørgensen,rowing,male,gold
Olaf Tufte,rowing,male,gold
Pete Reed,rowing,male,gold
Scott Brennan,rowing,male,gold
Steve Williams,rowing,male,gold
Thomas Ebert,rowing,male,gold
Tom James,rowing,male,gold
Zac Purchase,rowing,male,gold
Anna Goodale,rowing,female,gold
Anna Mickelson,rowing,female,gold
Caroline Evers-Swindell,rowing,female,gold
Caroline Lind,rowing,female,gold
Caryn Davies,rowing,female,gold
Elle Logan,rowing,female,gold
Erin Cafaro,rowing,female,gold
Georgeta Damian,rowing,female,gold
Georgina Evers-Swindell,rowing,female,gold
Jin Ziwei,rowing,female,gold
Kirsten van der Kolk,rowing,female,gold
Lindsay Shoop,rowing,female,gold
Marit van Eupen,rowing,female,gold
Mary Whipple,rowing,female,gold
Rumyana Neykova,rowing,female,gold
Susan Francia,rowing,female,gold
Tang Bin,rowing,female,gold
Viorica Susanu,rowing,female,gold
Xi Aihua,rowing,female,gold
Zhang Yangyang,rowing,female,gold
Anders Ekström,sailing,male,bronze
Carlos Espínola,sailing,male,bronze
Diego Romero,sailing,male,bronze
Fredrik Lööf,sailing,male,bronze
Guillaume Florent,sailing,male,bronze
Hannes Peckolt,sailing,male,bronze
Jan-Peter Peckolt,sailing,male,bronze
Nicolas Charbonnier,sailing,male,bronze
Olivier Bausset,sailing,male,bronze
Santiago Lange,sailing,male,bronze
Shahar Tzuberi,sailing,male,bronze
Bryony Shaw,sailing,female,bronze
Fernanda Oliveira,sailing,female,bronze
Isabel Swan,sailing,female,bronze
Sofia Bekatorou,sailing,female,bronze
Sofia Papadopoulou,sailing,female,bronze
Virginia Kravarioti,sailing,female,bronze
Xu Lijia,sailing,female,bronze
Bruno Prada,sailing,male,silver
Darren Bundock,sailing,male,silver
Glenn Ashby,sailing,male,silver
Iker Martínez de Lizarduy,sailing,male,silver
Joe Glanfield,sailing,male,silver
Julien Bontemps,sailing,male,silver
Nick Rogers,sailing,male,silver
Robert Scheidt,sailing,male,silver
Vasilij Žbogar,sailing,male,silver
Xabier Fernández,sailing,male,silver
Zach Railey,sailing,male,silver
Alessandra Sensini,sailing,female,silver
Annemieke Bes,sailing,female,silver
Gintarė Scheidt,sailing,female,silver
Lobke Berkhout,sailing,female,silver
Mandy Mulder,sailing,female,silver
Marcelien de Koning,sailing,female,silver
Merel Witteveen,sailing,female,silver
Andrew Simpson,sailing,male,gold
Antón Paz,sailing,male,gold
Ben Ainslie,sailing,male,gold
Fernando Echávarri,sailing,male,gold
Iain Percy,sailing,male,gold
Jonas Warrer,sailing,male,gold
Malcolm Page,sailing,male,gold
Martin Kirketerp,sailing,male,gold
Nathan Wilmot,sailing,male,gold
Paul Goodison,sailing,male,gold
Tom Ashley,sailing,male,gold
Anna Tunnicliffe,sailing,female,gold
Elise Rechichi,sailing,female,gold
Pippa Wilson,sailing,female,gold
Sarah Ayton,sailing,female,gold
Sarah Webb,sailing,female,gold
Tessa Parkinson,sailing,female,gold
Yin Jian,sailing,female,gold
Aleksei Alipov,shooting sport,male,bronze
Anthony Terras,shooting sport,male,bronze
Christian Reitz,shooting sport,male,bronze
Henri Häkkinen,shooting sport,male,bronze
Hu Binyuan,shooting sport,male,bronze
Jason Turner,shooting sport,male,bronze
Rajmond Debevec,shooting sport,male,bronze
Vladimir Isakov,shooting sport,male,bronze
Warren Potent,shooting sport,male,bronze
Christine Wenzel,shooting sport,female,bronze
Corey Cogdell,shooting sport,female,bronze
Eglis Yaima Cruz,shooting sport,female,bronze
Munkhbayar Dorjsuren,shooting sport,female,bronze
Nino Salukvadze,shooting sport,female,bronze
Snježana Pejčić,shooting sport,female,bronze
Francesco D'Aniello,shooting sport,male,silver
Giovanni Pellielo,shooting sport,male,silver
Jin Jong-oh,shooting sport,male,silver
Jury Sukhorukov,shooting sport,male,silver
Matthew Emmons,shooting sport,male,silver
Ralf Schumann,shooting sport,male,silver
Tan Zongliang,shooting sport,male,silver
Tore Brovold,shooting sport,male,silver
Zhu Qinan,shooting sport,male,silver
Kim Rhode,shooting sport,female,silver
Lioubov Galkina,shooting sport,female,silver
Natalia Paderina,shooting sport,female,silver
Otryadyn Gündegmaa,shooting sport,female,silver
Zuzana Rehák-Štefečeková,shooting sport,female,silver
Abhinav,shooting sport,male,gold
Artur Ayvazyan,shooting sport,male,gold
David Kostelecký,shooting sport,male,gold
Oleksandr Petriv,shooting sport,male,gold
Pang Wei,shooting sport,male,gold
Qiu Jian,shooting sport,male,gold
Vincent Hancock,shooting sport,male,gold
Walton Eller,shooting sport,male,gold
Chen Ying,shooting sport,female,gold
Chiara Cainero,shooting sport,female,gold
Du Li,shooting sport,female,gold
Guo Wenjun,shooting sport,female,gold
Kateřina Emmons,shooting sport,female,gold
Satu Mäkelä-Nummela,shooting sport,female,gold
Belinda Wright,softball,female,bronze
Danielle Stewart,softball,female,bronze
Jodie Bowering,softball,female,bronze
Justine Smethurst,softball,female,bronze
Kelly Hardie,softball,female,bronze
Kerry Wyborn,softball,female,bronze
Kylie Cronk,softball,female,bronze
Melanie Roche,softball,female,bronze
Natalie Titcume,softball,female,bronze
Natalie Ward,softball,female,bronze
Sandy Lewis,softball,female,bronze
Simmone Morrow,softball,female,bronze
Stacey Porter,softball,female,bronze
Tanya Harding,softball,female,bronze
Tracey Mosley,softball,female,bronze
Andrea Duran,softball,female,silver
Caitlin Lowe,softball,female,silver
Cat Osterman,softball,female,silver
Crystl Bustos,softball,female,silver
Jennie Finch,softball,female,silver
Jessica Mendoza,softball,female,silver
Kelly Kretschman,softball,female,silver
Laura Berg,softball,female,silver
Lauren Lappin,softball,female,silver
Lovieanne Jung,softball,female,silver
Monica Abbott,softball,female,silver
Natasha Watley,softball,female,silver
Stacey Nuveman,softball,female,silver
Tairia Flowers,softball,female,silver
Vicky Galindo,softball,female,silver
Ayumi Karino,softball,female,gold
Emi Inui,softball,female,gold
Eri Yamada,softball,female,gold
Hiroko Sakai,softball,female,gold
Masumi Mishina,softball,female,gold
Megu Hirose,softball,female,gold
Mika Someya,softball,female,gold
Motoko Fujimoto,softball,female,gold
Naho Emoto,softball,female,gold
Rei Nishiyama,softball,female,gold
Rie Sato,softball,female,gold
Sachiko Ito,softball,female,gold
Satoko Mabuchi,softball,female,gold
Yukiko Ueno,softball,female,gold
Yukiyo Mine,softball,female,gold
Alain Bernard,swimming,male,bronze
Andrew Lauterstein,swimming,male,bronze
Arkady Vyatchanin,swimming,male,bronze
Ashley Callus,swimming,male,bronze
Grant Brits,swimming,male,bronze
Hayden Stoeckel,swimming,male,bronze
Hisayoshi Sato,swimming,male,bronze
Hugues Duboscq,swimming,male,bronze
Jason Lezak,swimming,male,bronze
Junichi Miyashita,swimming,male,bronze
Kirk Palmer,swimming,male,bronze
Larsen Jensen,swimming,male,bronze
Leith Brodie,swimming,male,bronze
Matt Targett,swimming,male,bronze
Nick Ffrost,swimming,male,bronze
Patrick Murphy,swimming,male,bronze
Peter Vanderkaay,swimming,male,bronze
Ryan Cochrane,swimming,male,bronze
Takeshi Matsuda,swimming,male,bronze
Takuro Fujii,swimming,male,bronze
Thomas Lurz,swimming,male,bronze
Alice Tait,swimming,female,bronze
Allison Schmitt,swimming,female,bronze
Caroline Burckle,swimming,female,bronze
Cassie Patten,swimming,female,bronze
Cate Campbell,swimming,female,bronze
Christine Marshall,swimming,female,bronze
Jessicah Schipper,swimming,female,bronze
Joanne Jackson,swimming,female,bronze
Kim Vandenberg,swimming,female,bronze
Lotte Friis,swimming,female,bronze
Margaret Hoelzer,swimming,female,bronze
Melanie Schlanger,swimming,female,bronze
Mirna Jukić,swimming,female,bronze
Natalie Coughlin,swimming,female,bronze
Pang Jiaying,swimming,female,bronze
Reiko Nakamura,swimming,female,bronze
Sara Nordenstam,swimming,female,bronze
Shayne Reese,swimming,female,bronze
Sun Ye,swimming,female,bronze
Xu Tianlongzi,swimming,female,bronze
Zhao Jing,swimming,female,bronze
Zhou Yafei,swimming,female,bronze
Adam Pine,swimming,male,silver
Alexander Dale Oen,swimming,male,silver
Alexander Sukhorukov,swimming,male,silver
Amaury Leveaux,swimming,male,silver
Ashley Delaney,swimming,male,silver
Boris Steimetz,swimming,male,silver
Brenton Rickard,swimming,male,silver
Christian Sprenger,swimming,male,silver
Danila Izotov,swimming,male,silver
David Davies,swimming,male,silver
Eamon Sullivan,swimming,male,silver
Fabien Gilot,swimming,male,silver
Frédérick Bousquet,swimming,male,silver
Grant Hackett,swimming,male,silver
Grégory Mallet,swimming,male,silver
László Cseh,swimming,male,silver
Matt Grevers,swimming,male,silver
Mikhail Polishchuk,swimming,male,silver
Milorad Čavić,swimming,male,silver
Nikita Lobintsev,swimming,male,silver
Park Tae-Hwan,swimming,male,silver
Yevgeny Lagunov,swimming,male,silver
Zhang Lin,swimming,male,silver
Alessia Filippi,swimming,female,silver
Christine Magnuson,swimming,female,silver
Dara Torres,swimming,female,silver
Elaine Breeden,swimming,female,silver
Emily Silver,swimming,female,silver
Jiao Liuyang,swimming,female,silver
Julia Smit,swimming,female,silver
Kara Lynn Joyce,swimming,female,silver
Katie Hoff,swimming,female,silver
Keri-Anne Payne,swimming,female,silver
Kirsty Coventry,swimming,female,silver
Lacey Nymeyer,swimming,female,silver
Libby Trickett,swimming,female,silver
Megan Jendrick,swimming,female,silver
Rebecca Soni,swimming,female,silver
Sara Isaković,swimming,female,silver
Tan Miao,swimming,female,silver
Tang Jingzhi,swimming,female,silver
Yang Yu,swimming,female,silver
Zhu Qianwei,swimming,female,silver
Aaron Peirsol,swimming,male,gold
Ben Wildman-Tobriner,swimming,male,gold
Brendan Hansen,swimming,male,gold
Cullen Jones,swimming,male,gold
César Cielo,swimming,male,gold
David Walters,swimming,male,gold
Erik Vendt,swimming,male,gold
Garrett Weber-Gale,swimming,male,gold
Ian Crocker,swimming,male,gold
Klete Keller,swimming,male,gold
Kosuke Kitajima,swimming,male,gold
Maarten van der Weijden,swimming,male,gold
Mark Gangloff,swimming,male,gold
Michael Phelps,swimming,male,gold
Nathan Adrian,swimming,male,gold
Oussama Mellouli,swimming,male,gold
Ricky Berens,swimming,male,gold
Ryan Lochte,swimming,male,gold
Angie Bainbridge,swimming,female,gold
Britta Steffen,swimming,female,gold
Bronte Barratt,swimming,female,gold
Emily Seebohm,swimming,female,gold
Federica Pellegrini,swimming,female,gold
Felicity Galvez,swimming,female,gold
Femke Heemskerk,swimming,female,gold
Hinkelien Schreuder,swimming,female,gold
Inge Dekker,swimming,female,gold
Kylie Palmer,swimming,female,gold
Lara Davenport,swimming,female,gold
Larisa Ilchenko,swimming,female,gold
Leisel Jones,swimming,female,gold
Linda Mackenzie,swimming,female,gold
Liu Zige,swimming,female,gold
Manon van Rooijen,swimming,female,gold
Marleen Veldhuis,swimming,female,gold
Ranomi Kromowidjojo,swimming,female,gold
Rebecca Adlington,swimming,female,gold
Stephanie Rice,swimming,female,gold
Tarnee White,swimming,female,gold
Emiko Suzuki,synchronized swimming,female,bronze
Gu Beibei,synchronized swimming,female,bronze
Huang Xuechen,synchronized swimming,female,bronze
Jiang Tingting,synchronized swimming,female,bronze
Jiang Wenwen,synchronized swimming,female,bronze
Liu Ou,synchronized swimming,female,bronze
Luo Xi,synchronized swimming,female,bronze
Saho Harada,synchronized swimming,female,bronze
Sun Qiuting,synchronized swimming,female,bronze
Wang Na,synchronized swimming,female,bronze
Zhang Xiaohuan,synchronized swimming,female,bronze
Alba Cabello,synchronized swimming,female,silver
Andrea Fuentes,synchronized swimming,female,silver
Gemma Mengual,synchronized swimming,female,silver
Gisela Morón,synchronized swimming,female,silver
Irina Rodríguez,synchronized swimming,female,silver
Laura López,synchronized swimming,female,silver
Paola Tirados,synchronized swimming,female,silver
Raquel Corral,synchronized swimming,female,silver
Thaïs Henríquez,synchronized swimming,female,silver
Anastasia Davydova,synchronized swimming,female,gold
Anastasiya Yermakova,synchronized swimming,female,gold
Anna Shorina,synchronized swimming,female,gold
Elvira Khasyanova,synchronized swimming,female,gold
Mariya Gromova,synchronized swimming,female,gold
Natalia Ishchenko,synchronized swimming,female,gold
Olga Kuzhela,synchronized swimming,female,gold
Svetlana Romashina,synchronized swimming,female,gold
Yelena Ovchinnikova,synchronized swimming,female,gold
Oh Sang-eun,table tennis,male,bronze
Ryu Seung-min,table tennis,male,bronze
Wang Liqin,table tennis,male,bronze
Yoon Jae-Young,table tennis,male,bronze
Dang Ye-seo,table tennis,female,bronze
Guo Yue,table tennis,female,bronze
Kim Kyungah,table tennis,female,bronze
Park Mi-Young,table tennis,female,bronze
Christian Süß,table tennis,male,silver
Dimitrij Ovtcharov,table tennis,male,silver
Timo Boll,table tennis,male,silver
Wang Hao,table tennis,male,silver
Feng Tianwei,table tennis,female,silver
Li Jiawei,table tennis,female,silver
Wang Nan,table tennis,female,silver
Wang Yuegu,table tennis,female,silver
Ma Lin,table tennis,male,gold
Zhang Yining,table tennis,female,gold
Arman Chilmanov,taekwondo,male,bronze
Chika Chukwumerije,taekwondo,male,bronze
Chu Mu-yen,taekwondo,male,bronze
Rohullah Nikpai,taekwondo,male,bronze
Servet Tazegül,taekwondo,male,bronze
Steven López,taekwondo,male,bronze
Sung Yu-chi,taekwondo,male,bronze
Zhu Guo,taekwondo,male,bronze
Dalia Contreras,taekwondo,female,bronze
Daynellis Montejo,taekwondo,female,bronze
Diana López,taekwondo,female,bronze
Gwladys Épangue,taekwondo,female,bronze
Martina Zubčić,taekwondo,female,bronze
Natália Falavigna,taekwondo,female,bronze
Sandra Šarić,taekwondo,female,bronze
Sarah Stevenson,taekwondo,female,bronze
Alexandros Nikolaidis,taekwondo,male,silver
Gabriel Mercedes,taekwondo,male,silver
Mark López,taekwondo,male,silver
Mauro Sarmiento,taekwondo,male,silver
Azize Tanrıkulu,taekwondo,female,silver
Buttree Puedpong,taekwondo,female,silver
Karine Sergerie,taekwondo,female,silver
Nina Solheim,taekwondo,female,silver
Cha Dong-Min,taekwondo,male,gold
Guillermo Pérez,taekwondo,male,gold
Hadi Saei,taekwondo,male,gold
Son Tae-jin,taekwondo,male,gold
Hwang Kyung-Seon,taekwondo,female,gold
Lim Su-jeong,taekwondo,female,gold
María Espinoza,taekwondo,female,gold
Wu Jingyu,taekwondo,female,gold
Bob Bryan,tennis,male,bronze
Mike Bryan,tennis,male,bronze
Novak Djokovic,tennis,male,bronze
Vera Zvonareva,tennis,female,bronze
Yan Zi,tennis,female,bronze
Zheng Jie,tennis,female,bronze
Fernando González,tennis,male,silver
Simon Aspelin,tennis,male,silver
Thomas Johansson,tennis,male,silver
Anabel Medina Garrigues,tennis,female,silver
Dinara Safina,tennis,female,silver
Virginia Ruano Pascual,tennis,female,silver
Rafael Nadal,tennis,male,gold
Roger Federer,tennis,male,gold
Stan Wawrinka,tennis,male,gold
Elena Dementieva,tennis,female,gold
Serena Williams,tennis,female,gold
Venus Williams,tennis,female,gold
Alexei Markov,track cycling,male,bronze
Chris Newton,track cycling,male,bronze
Jesse Sergent,track cycling,male,bronze
Kiyofumi Nagai,track cycling,male,bronze
Marc Ryan,track cycling,male,bronze
Maximilian Levy,track cycling,male,bronze
Mickaël Bourgain,track cycling,male,bronze
Mikhail Ignatiev,track cycling,male,bronze
René Enders,track cycling,male,bronze
Sam Bewley,track cycling,male,bronze
Stefan Nimke,track cycling,male,bronze
Steven Burke,track cycling,male,bronze
Westley Gough,track cycling,male,bronze
Guo Shuang,track cycling,female,bronze
Leire Olaberria,track cycling,female,bronze
Lesya Kalytovska,track cycling,female,bronze
Alex Rasmussen,track cycling,male,silver
Arnaud Tournant,track cycling,male,silver
Casper Jørgensen,track cycling,male,silver
Grégory Baugé,track cycling,male,silver
Hayden Roulston,track cycling,male,silver
Jason Kenny,track cycling,male,silver
Jens-Erik Madsen,track cycling,male,silver
Joan Llaneras Roselló,track cycling,male,silver
Kévin Sireau,track cycling,male,silver
Michael Færk Christensen,track cycling,male,silver
Michael Mørkøv,track cycling,male,silver
Roger Kluge,track cycling,male,silver
Ross Edgar,track cycling,male,silver
Toni Tauler,track cycling,male,silver
Anna Meares,track cycling,female,silver
Wendy Houvenaghel,track cycling,female,silver
Yoanka González,track cycling,female,silver
Bradley Wiggins,track cycling,male,gold
Chris Hoy,track cycling,male,gold
Ed Clancy,track cycling,male,gold
Geraint Thomas,track cycling,male,gold
Jamie Staff,track cycling,male,gold
Juan Curuchet,track cycling,male,gold
Paul Manning,track cycling,male,gold
Walter Pérez,track cycling,male,gold
Marianne Vos,track cycling,female,gold
Rebecca Romero,track cycling,female,gold
Victoria Pendleton,track cycling,female,gold
Dong Dong,trampoline gymnastics,male,bronze
Ekaterina Khilko,trampoline gymnastics,female,bronze
Jason Burnett,trampoline gymnastics,male,silver
Karen Cockburn,trampoline gymnastics,female,silver
Lu Chunlong,trampoline gymnastics,male,gold
He Wenna,trampoline gymnastics,female,gold
Bevan Docherty,triathlon,male,bronze
Emma Moffatt,triathlon,female,bronze
Simon Whitfield,triathlon,male,silver
Vanessa Fernandes,triathlon,female,silver
Jan Frodeno,triathlon,male,gold
Emma Snowsill,triathlon,female,gold
Aleksandr Korneev,volleyball,male,bronze
Aleksandr Kosarev,volleyball,male,bronze
Aleksandr Volkov,volleyball,male,bronze
Aleksey Kuleshov,volleyball,male,bronze
Aleksey Ostapenko,volleyball,male,bronze
Aleksey Verbov,volleyball,male,bronze
Maxim Mikhaylov,volleyball,male,bronze
Semyon Poltavskiy,volleyball,male,bronze
Sergey Grankin,volleyball,male,bronze
Sergey Tetyukhin,volleyball,male,bronze
Vadim Khamuttskikh,volleyball,male,bronze
Yury Berezhko,volleyball,male,bronze
Feng Kun,volleyball,female,bronze
Li Juan,volleyball,female,bronze
Liu Yanan,volleyball,female,bronze
Ma Yunwen,volleyball,female,bronze
Wang Yimei,volleyball,female,bronze
Wei Qiuyue,volleyball,female,bronze
